Seed,X Position,Y Position,ElapsedTime(ms)
1,0,0,586
1,-1,0,69
1,0,-1,122
1,0,1,174
1,1,0,169
1,-1,-1,169
1,-1,1,206
1,1,-1,213
1,-2,0,205
1,0,-2,200
1,1,1,243
1,0,2,234
1,2,0,234
1,-2,-1,193
1,-1,-2,185
1,-2,1,205
1,1,-2,216
1,-1,2,230
1,-2,-2,193
1,2,-1,255
1,1,2,274
1,2,1,259
1,-2,2,237
1,-3,0,228
1,2,-2,252
1,2,2,282
1,-3,-1,169
1,0,-3,247
1,-3,1,205
1,0,3,251
1,3,0,232
1,-1,-3,184
1,-1,3,219
1,1,-3,211
1,1,3,217
1,-3,-2,159
1,3,-1,213
1,3,1,220
1,-2,-3,189
1,-3,2,210
1,2,-3,215
1,-2,3,226
1,3,-2,216
1,2,3,233
1,-4,0,200
1,0,-4,194
1,3,2,233
1,-4,-1,193
1,-1,-4,181
1,0,4,230
1,-4,1,196
1,4,0,233
1,1,-4,206
1,-1,4,225
1,4,-1,216
1,1,4,224
1,4,1,218
1,-3,-3,173
1,-4,-2,188
1,-3,3,205
1,3,-3,217
1,3,3,246
1,-4,2,188
1,-2,-4,188
1,2,-4,206
1,-2,4,231
1,4,-2,211
1,2,4,241
1,-4,-3,182
1,-5,0,200
1,4,2,241
1,-4,3,240
1,-3,-4,204
1,-3,4,241
1,0,-5,235
1,3,-4,247
1,4,-3,235
1,0,5,267
1,3,4,259
1,-5,-1,172
1,4,3,278
1,5,0,250
1,-5,1,200
1,-1,-5,197
1,-1,5,238
1,1,-5,204
1,-5,-2,195
1,1,5,226
1,5,-1,220
1,-5,2,190
1,5,1,235
1,-2,-5,185
1,-2,5,223
1,2,-5,185
1,2,5,217
1,-4,-4,185
1,5,-2,225
1,-5,-3,172
1,-4,4,205
1,5,2,239
1,4,-4,208
1,-3,-5,170
1,4,4,236
1,-5,3,206
1,3,-5,209
1,-3,5,224
1,-6,0,194
1,3,5,237
1,5,-3,225
1,0,-6,214
1,5,3,246
1,-6,-1,197
1,0,6,223
1,6,0,235
1,-6,1,174
1,-1,-6,193
1,1,-6,189
1,-1,6,217
1,-6,-2,192
1,1,6,227
1,6,-1,224
1,-6,2,204
1,-2,-6,188
1,6,1,231
1,2,-6,180
1,-2,6,226
1,-5,-4,162
1,6,-2,219
1,2,6,231
1,-4,-5,182
1,6,2,225
1,-5,4,212
1,-4,5,208
1,4,-5,210
1,5,-4,233
1,4,5,274
1,-6,-3,216
1,-3,-6,205
1,5,4,257
1,-6,3,231
1,3,-6,235
1,-3,6,250
1,6,-3,246
1,3,6,265
1,-7,0,181
1,6,3,235
1,0,-7,204
1,-7,-1,194
1,-5,-5,162
1,0,7,222
1,7,0,232
1,-7,1,195
1,-1,-7,179
1,-5,5,199
1,1,-7,154
1,-1,7,216
1,1,7,186
1,-6,-4,149
1,5,-5,190
1,7,-1,203
1,5,5,212
1,7,1,191
1,-4,-6,159
1,-6,4,172
1,-4,6,174
1,4,-6,174
1,-7,-2,143
1,4,6,193
1,6,-4,185
1,6,4,192
1,-2,-7,155
1,-7,2,175
1,2,-7,172
1,-2,7,179
1,2,7,201
1,-7,-3,163
1,7,-2,195
1,-7,3,166
1,-3,-7,158
1,7,2,184
1,3,-7,165
1,-3,7,173
1,7,-3,183
1,3,7,204
1,-6,-5,149
1,-5,-6,149
1,-6,5,183
1,7,3,201
1,5,-6,176
1,-5,6,189
1,6,-5,192
1,5,6,216
1,-8,0,173
1,6,5,195
1,0,-8,169
1,-8,-1,151
1,0,8,194
1,-8,1,160
1,-7,-4,153
1,8,0,195
1,-7,4,153
1,-4,-7,149
1,-1,-8,157
1,-4,7,227
1,-1,8,206
1,1,-8,202
1,4,-7,210
1,4,7,216
1,1,8,247
1,7,-4,215
1,7,4,222
1,8,-1,227
1,8,1,222
1,-8,-2,164
1,-2,-8,148
1,-8,2,164
1,2,-8,162
1,-2,8,188
1,-6,-6,153
1,2,8,184
1,8,-2,189
1,8,2,181
1,-6,6,187
1,6,-6,187
1,-8,-3,168
1,6,6,228
1,-3,-8,161
1,-8,3,176
1,3,-8,184
1,-3,8,196
1,3,8,197
1,8,-3,191
1,-7,-5,154
1,8,3,214
1,-7,5,175
1,-5,-7,146
1,5,-7,174
1,-5,7,186
1,7,-5,166
1,-8,-4,175
1,-8,4,177
1,5,7,207
1,7,5,204
1,-4,-8,160
1,-4,8,188
1,4,-8,174
1,8,-4,186
1,4,8,200
1,-9,0,159
1,8,4,211
1,0,-9,180
1,-9,-1,170
1,0,9,196
1,-9,1,159
1,9,0,203
1,-1,-9,167
1,-1,9,185
1,1,-9,175
1,1,9,184
1,-9,-2,154
1,-7,-6,154
1,9,-1,196
1,-9,2,174
1,9,1,196
1,-6,-7,155
1,-7,6,195
1,-2,-9,154
1,-6,7,165
1,2,-9,179
1,-2,9,196
1,2,9,212
1,6,-7,225
1,7,-6,223
1,6,7,236
1,7,6,234
1,9,-2,216
1,-8,-5,187
1,9,2,225
1,-8,5,198
1,-5,-8,192
1,-5,8,162
1,5,-8,183
1,8,-5,184
1,-9,-3,162
1,5,8,211
1,-9,3,158
1,8,5,201
1,-3,-9,160
1,-3,9,163
1,3,-9,180
1,3,9,215
1,9,-3,193
1,-9,-4,169
1,-9,4,168
1,-4,-9,166
1,9,3,202
1,-4,9,187
1,4,-9,166
1,4,9,187
1,9,-4,172
1,-7,-7,142
1,7,-7,177
1,9,4,194
1,-7,7,190
1,-10,0,175
1,-8,-6,166
1,-8,6,161
1,7,7,213
1,-6,-8,153
1,-6,8,182
1,0,-10,150
1,6,-8,170
1,0,10,200
1,8,-6,186
1,6,8,194
1,-10,-1,170
1,10,0,192
1,8,6,210
1,-10,1,165
1,-1,-10,157
1,-1,10,167
1,1,-10,154
1,-10,-2,172
1,1,10,190
1,10,-1,191
1,-2,-10,168
1,-10,2,180
1,10,1,198
1,-2,10,187
1,2,-10,157
1,2,10,193
1,10,-2,191
1,-9,-5,160
1,-5,-9,162
1,10,2,196
1,-9,5,186
1,5,-9,183
1,-5,9,194
1,9,-5,206
1,5,9,216
1,9,5,201
1,-10,-3,157
1,-10,3,219
1,-3,-10,207
1,3,-10,208
1,-3,10,216
1,10,-3,229
1,3,10,239
1,-8,-7,185
1,10,3,225
1,-7,-8,199
1,-8,7,213
1,-7,8,179
1,7,-8,178
1,8,-7,180
1,7,8,191
1,-10,-4,158
1,-10,4,169
1,8,7,186
1,-4,-10,161
1,4,-10,158
1,-4,10,185
1,10,-4,177
1,4,10,200
1,10,4,186
1,-11,0,67
1,0,-11,60
1,0,11,56
1,11,0,57
1,-11,-1,35
1,-11,1,47
1,-1,-11,46
1,-1,11,42
1,1,-11,35
1,1,11,56
1,11,-1,55
1,11,1,40
1,-11,-2,46
1,-11,2,48
1,-10,-5,34
1,-10,5,38
1,-5,-10,48
1,-5,10,40
1,-2,-11,36
1,-2,11,56
1,2,-11,52
1,5,-10,37
1,2,11,43
1,5,10,56
1,10,-5,54
1,10,5,42
1,11,-2,41
1,-8,-8,31
1,11,2,54
1,-8,8,51
1,8,-8,52
1,-11,-3,36
1,8,8,45
1,-11,3,46
1,-9,-7,46
1,-9,7,36
1,-7,-9,35
1,-7,9,49
1,-3,-11,48
1,-3,11,41
1,3,-11,36
1,3,11,56
1,7,-9,53
1,9,-7,65
1,7,9,77
1,9,7,71
1,11,-3,60
1,-10,-6,48
1,11,3,54
1,-10,6,36
1,-6,-10,35
1,-6,10,52
1,6,-10,51
1,6,10,42
1,10,-6,38
1,-11,-4,48
1,10,6,56
1,-11,4,37
1,-4,-11,36
1,-4,11,52
1,4,-11,44
1,4,11,55
1,11,-4,53
1,11,4,42
1,-12,0,37
1,0,-12,50
1,0,12,55
1,12,0,39
1,-12,-1,36
1,-12,1,49
1,-9,-8,47
1,-9,8,37
1,-8,-9,32
1,-8,9,51
1,-1,-12,47
1,1,-12,36
1,-1,12,43
1,1,12,56
1,8,-9,51
1,9,-8,52
1,8,9,58
1,9,8,42
1,12,-1,41
1,-11,-5,49
1,12,1,57
1,-11,5,34
1,-5,-11,33
1,-5,11,55
1,5,-11,51
1,5,11,41
1,11,-5,40
1,11,5,56
1,-12,-2,49
1,-12,2,36
1,-2,-12,38
1,-2,12,51
1,2,-12,37
1,2,12,58
1,12,-2,57
1,-10,-7,35
1,12,2,42
1,-10,7,51
1,-7,-10,47
1,-7,10,40
1,7,-10,40
1,7,10,57
1,10,-7,53
1,-12,-3,35
1,10,7,43
1,-12,3,50
1,-3,-12,49
1,-3,12,52
1,3,-12,48
1,3,12,41
1,12,-3,40
1,-11,-6,100
1,12,3,109
1,-11,6,34
1,-6,-11,33
1,-6,11,53
1,6,-11,52
1,6,11,41
1,11,-6,40
1,-12,-4,47
1,11,6,55
1,-12,4,35
1,-4,-12,33
1,-4,12,53
1,4,-12,52
1,4,12,46
1,12,-4,42
1,-9,-9,48
1,12,4,54
1,-9,9,52
1,9,-9,52
1,-10,-8,35
1,9,9,44
1,-10,8,47
1,-8,-10,43
1,-8,10,39
1,8,-10,39
1,10,-8,53
1,8,10,60
1,-13,0,35
1,10,8,42
1,-12,-5,46
1,-12,5,50
1,-5,-12,33
1,-5,12,42
1,0,-13,49
1,0,13,41
1,5,-12,37
1,5,12,56
1,12,-5,53
1,12,5,41
1,13,0,42
1,-13,-1,49
1,-13,1,49
1,-11,-7,34
1,-11,7,37
1,-7,-11,48
1,-7,11,54
1,-1,-13,35
1,-1,13,54
1,1,-13,47
1,1,13,43
1,7,-11,37
1,7,11,56
1,11,-7,54
1,11,7,44
1,13,-1,42
1,13,1,53
1,-13,-2,48
1,-13,2,35
1,-2,-13,35
1,-2,13,55
1,2,-13,54
1,2,13,40
1,13,-2,57
1,13,2,39
1,-13,-3,34
1,-13,3,48
1,-3,-13,47
1,-3,13,41
1,3,-13,37
1,3,13,53
1,13,-3,52
1,-12,-6,35
1,13,3,43
1,-12,6,100
1,-6,-12,98
1,-6,12,42
1,6,-12,37
1,6,12,57
1,12,-6,56
1,-10,-9,33
1,12,6,44
1,-10,9,50
1,-9,-10,46
1,-9,10,38
1,9,-10,39
1,9,10,57
1,10,-9,53
1,-13,-4,35
1,10,9,43
1,-13,4,47
1,-11,-8,35
1,-11,8,36
1,-8,-11,32
1,-8,11,52
1,-4,-13,47
1,-4,13,39
1,4,-13,34
1,4,13,52
1,8,-11,38
1,8,11,58
1,11,-8,54
1,11,8,43
1,13,-4,39
1,-12,-7,45
1,13,4,55
1,-12,7,37
1,-7,-12,33
1,-7,12,54
1,7,-12,50
1,7,12,43
1,12,-7,39
1,12,7,57
1,6,-9,46893
1,9,6,55309
1,-9,-6,66883
1,9,-6,90753
1,-13,5,91337
1,-9,6,103040
1,-6,9,112391
1,-14,0,30
1,0,-14,31
1,0,14,38
1,14,0,53
1,-14,-1,30
1,-14,1,31
1,-1,-14,31
1,-1,14,54
1,1,-14,29
1,1,14,36
1,14,-1,37
1,14,1,35
1,-14,-2,47
1,-14,2,31
1,-10,-10,28
1,-10,10,33
1,-2,-14,29
1,-2,14,53
1,2,-14,31
1,2,14,36
1,10,-10,34
1,10,10,105
1,14,-2,36
1,14,2,36
1,-11,-9,29
1,-11,9,50
1,-9,-11,28
1,-9,11,32
1,9,-11,33
1,9,11,54
1,11,-9,33
1,11,9,37
1,-14,-3,43
1,-14,3,30
1,-13,-6,29
1,-13,6,33
1,-6,-13,44
1,-6,13,38
1,-3,-14,30
1,-3,14,36
1,3,-14,44
1,3,14,36
1,6,-13,32
1,6,13,39
1,13,-6,49
1,13,6,35
1,14,-3,35
1,14,3,60
1,-12,-8,29
1,-12,8,32
1,-8,-12,28
1,-8,12,48
1,8,-12,33
1,8,12,38
1,12,-8,34
1,12,8,53
1,-14,-4,29
1,-14,4,31
1,-4,-14,30
1,-4,14,51
1,4,-14,31
1,4,14,36
1,14,-4,50
1,14,4,37
1,-13,-7,30
1,-13,7,32
1,-7,-13,45
1,-7,13,34
1,7,-13,33
1,7,13,38
1,13,-7,47
