Seed,ElapsedTime(ms),Path Length,Min,2
0,38,513,Max,83
1,25,513,,
2,41,513,Median,29
3,79,513,95th Percentile,54
4,29,513,99th Percentile,65
5,40,513,Average,29.608
6,38,513,,
7,66,513,,
8,38,513,,
9,29,513,,
10,45,513,,
11,45,513,,
12,31,513,,
13,36,513,,
14,11,513,,
15,26,513,,
16,43,513,,
17,54,513,,
18,11,513,,
19,14,513,,
20,19,513,,
21,56,513,,
22,44,513,,
23,4,513,,
24,53,513,,
25,6,513,,
26,45,513,,
27,42,513,,
28,36,513,,
29,4,513,,
30,13,513,,
31,42,513,,
32,33,513,,
33,30,513,,
34,51,513,,
35,27,513,,
36,17,513,,
37,35,513,,
38,32,513,,
39,9,513,,
40,35,513,,
41,38,513,,
42,40,513,,
43,21,513,,
44,52,513,,
45,21,513,,
46,4,513,,
47,22,513,,
48,47,513,,
49,44,513,,
50,34,513,,
51,43,513,,
52,31,513,,
53,35,513,,
54,29,513,,
55,41,513,,
56,13,513,,
57,9,513,,
58,15,513,,
59,37,513,,
60,57,513,,
61,11,513,,
62,7,513,,
63,32,513,,
64,51,513,,
65,10,513,,
66,56,513,,
67,15,513,,
68,30,513,,
69,38,513,,
70,41,513,,
71,41,513,,
72,34,513,,
73,36,513,,
74,49,513,,
75,14,513,,
76,36,513,,
77,14,513,,
78,27,513,,
79,29,513,,
80,52,513,,
81,35,513,,
82,33,513,,
83,10,513,,
84,15,513,,
85,8,513,,
86,15,513,,
87,45,513,,
88,47,513,,
89,18,513,,
90,31,513,,
91,35,513,,
92,13,513,,
93,72,513,,
94,26,513,,
95,32,513,,
96,21,513,,
97,38,513,,
98,41,513,,
99,26,513,,
100,12,513,,
101,37,513,,
102,22,513,,
103,17,513,,
104,43,513,,
105,24,513,,
106,21,513,,
107,28,513,,
108,33,513,,
109,35,513,,
110,23,513,,
111,25,513,,
112,28,513,,
113,12,513,,
114,61,513,,
115,45,513,,
116,18,513,,
117,26,513,,
118,34,513,,
119,36,513,,
120,14,513,,
121,15,513,,
122,59,513,,
123,30,513,,
124,4,513,,
125,30,513,,
126,12,513,,
127,30,513,,
128,16,513,,
129,42,513,,
130,56,513,,
131,22,513,,
132,13,513,,
133,5,513,,
134,32,513,,
135,8,513,,
136,30,513,,
137,19,513,,
138,26,513,,
139,43,513,,
140,23,513,,
141,35,513,,
142,44,513,,
143,24,513,,
144,25,513,,
145,40,513,,
146,16,513,,
147,27,513,,
148,5,513,,
149,31,513,,
150,40,513,,
151,22,513,,
152,25,513,,
153,28,513,,
154,29,513,,
155,50,513,,
156,29,513,,
157,68,513,,
158,42,513,,
159,42,513,,
160,54,513,,
161,57,513,,
162,30,513,,
163,6,513,,
164,27,513,,
165,39,513,,
166,26,513,,
167,21,513,,
168,43,513,,
169,11,513,,
170,34,513,,
171,25,513,,
172,15,513,,
173,14,513,,
174,37,513,,
175,31,513,,
176,21,513,,
177,40,513,,
178,24,513,,
179,34,513,,
180,37,513,,
181,57,513,,
182,19,513,,
183,44,513,,
184,32,513,,
185,38,513,,
186,50,513,,
187,43,513,,
188,28,513,,
189,33,513,,
190,26,513,,
191,38,513,,
192,11,513,,
193,37,513,,
194,29,513,,
195,10,513,,
196,31,513,,
197,30,513,,
198,12,513,,
199,39,513,,
200,20,513,,
201,38,513,,
202,64,513,,
203,34,513,,
204,22,513,,
205,36,513,,
206,35,513,,
207,43,513,,
208,27,513,,
209,22,513,,
210,38,513,,
211,26,513,,
212,30,513,,
213,31,513,,
214,25,513,,
215,7,513,,
216,21,513,,
217,42,513,,
218,46,513,,
219,33,513,,
220,43,513,,
221,33,513,,
222,52,513,,
223,65,513,,
224,42,513,,
225,52,513,,
226,13,513,,
227,20,513,,
228,57,513,,
229,54,513,,
230,29,513,,
231,83,513,,
232,34,513,,
233,15,513,,
234,41,513,,
235,22,513,,
236,36,513,,
237,14,513,,
238,42,513,,
239,17,513,,
240,17,513,,
241,5,513,,
242,35,513,,
243,40,513,,
244,44,513,,
245,21,513,,
246,19,513,,
247,69,513,,
248,18,513,,
249,47,513,,
250,34,513,,
251,29,513,,
252,65,513,,
253,42,513,,
254,49,513,,
255,25,513,,
256,25,513,,
257,14,513,,
258,19,513,,
259,40,513,,
260,22,513,,
261,19,513,,
262,31,513,,
263,20,513,,
264,24,513,,
265,35,513,,
266,38,513,,
267,24,513,,
268,58,513,,
269,36,513,,
270,29,513,,
271,49,513,,
272,55,513,,
273,65,513,,
274,9,513,,
275,46,513,,
276,14,513,,
277,25,513,,
278,12,513,,
279,44,513,,
280,31,513,,
281,11,513,,
282,31,513,,
283,44,513,,
284,57,513,,
285,11,513,,
286,19,513,,
287,42,513,,
288,9,513,,
289,25,513,,
290,27,513,,
291,8,513,,
292,52,513,,
293,15,513,,
294,54,513,,
295,13,513,,
296,53,513,,
297,38,513,,
298,34,513,,
299,31,513,,
300,47,513,,
301,19,513,,
302,15,513,,
303,47,513,,
304,8,513,,
305,35,513,,
306,22,513,,
307,14,513,,
308,31,513,,
309,22,513,,
310,23,513,,
311,39,513,,
312,29,513,,
313,20,513,,
314,31,513,,
315,16,513,,
316,33,513,,
317,19,513,,
318,10,513,,
319,63,513,,
320,16,513,,
321,35,513,,
322,31,513,,
323,36,513,,
324,13,513,,
325,52,513,,
326,44,513,,
327,11,513,,
328,54,513,,
329,49,513,,
330,29,513,,
331,34,513,,
332,20,513,,
333,29,513,,
334,18,513,,
335,6,513,,
336,22,513,,
337,58,513,,
338,41,513,,
339,31,513,,
340,14,513,,
341,16,513,,
342,65,513,,
343,9,513,,
344,40,513,,
345,12,513,,
346,36,513,,
347,32,513,,
348,30,513,,
349,45,513,,
350,13,513,,
351,7,513,,
352,39,513,,
353,7,513,,
354,40,513,,
355,58,513,,
356,40,513,,
357,22,513,,
358,29,513,,
359,25,513,,
360,14,513,,
361,58,513,,
362,30,513,,
363,14,513,,
364,3,513,,
365,28,513,,
366,23,513,,
367,22,513,,
368,44,513,,
369,29,513,,
370,41,513,,
371,13,513,,
372,53,513,,
373,17,513,,
374,40,513,,
375,14,513,,
376,40,513,,
377,22,513,,
378,11,513,,
379,42,513,,
380,22,513,,
381,44,513,,
382,18,513,,
383,40,513,,
384,22,513,,
385,38,513,,
386,32,513,,
387,40,513,,
388,26,513,,
389,23,513,,
390,35,513,,
391,39,513,,
392,35,513,,
393,12,513,,
394,46,513,,
395,41,513,,
396,40,513,,
397,26,513,,
398,31,513,,
399,20,513,,
400,38,513,,
401,20,513,,
402,36,513,,
403,18,513,,
404,39,513,,
405,40,513,,
406,44,513,,
407,27,513,,
408,28,513,,
409,38,513,,
410,2,513,,
411,17,513,,
