Seed,ElapsedTime(ms),Path Length,Min,4
0,26,513,Max,69
1,20,513,,
2,35,513,Median,27
3,30,513,95th Percentile,51
4,24,513,99th Percentile,60
5,37,513,Average,28.809
6,21,513,,
7,20,513,,
8,13,513,,
9,42,513,,
10,20,513,,
11,21,513,,
12,33,513,,
13,15,513,,
14,20,513,,
15,19,513,,
16,20,513,,
17,11,513,,
18,8,513,,
19,32,513,,
20,30,513,,
21,33,513,,
22,23,513,,
23,32,513,,
24,39,513,,
25,48,513,,
26,17,513,,
27,24,513,,
28,29,513,,
29,20,513,,
30,15,513,,
31,32,513,,
32,24,513,,
33,19,513,,
34,44,513,,
35,33,513,,
36,9,513,,
37,54,513,,
38,20,513,,
39,34,513,,
40,36,513,,
41,20,513,,
42,47,513,,
43,21,513,,
44,21,513,,
45,24,513,,
46,30,513,,
47,26,513,,
48,7,513,,
49,19,513,,
50,21,513,,
51,43,513,,
52,8,513,,
53,27,513,,
54,15,513,,
55,14,513,,
56,24,513,,
57,17,513,,
58,24,513,,
59,21,513,,
60,49,513,,
61,11,513,,
62,40,513,,
63,16,513,,
64,20,513,,
65,14,513,,
66,49,513,,
67,43,513,,
68,60,513,,
69,27,513,,
70,18,513,,
71,33,513,,
72,15,513,,
73,23,513,,
74,26,513,,
75,12,513,,
76,31,513,,
77,39,513,,
78,28,513,,
79,14,513,,
80,20,513,,
81,18,513,,
82,35,513,,
83,20,513,,
84,14,513,,
85,38,513,,
86,17,513,,
87,51,513,,
88,42,513,,
89,52,513,,
90,47,513,,
91,26,513,,
92,22,513,,
93,13,513,,
94,42,513,,
95,33,513,,
96,14,513,,
97,36,513,,
98,48,513,,
99,24,513,,
100,37,513,,
101,38,513,,
102,10,513,,
103,14,513,,
104,47,513,,
105,27,513,,
106,44,513,,
107,14,513,,
108,9,513,,
109,40,513,,
110,45,513,,
111,18,513,,
112,30,513,,
113,20,513,,
114,18,513,,
115,16,513,,
116,35,513,,
117,19,513,,
118,19,513,,
119,14,513,,
120,22,513,,
121,31,513,,
122,17,513,,
123,22,513,,
124,44,513,,
125,38,513,,
126,28,513,,
127,49,513,,
128,27,513,,
129,39,513,,
130,31,513,,
131,38,513,,
132,69,513,,
133,42,513,,
134,32,513,,
135,53,513,,
136,17,513,,
137,46,513,,
138,44,513,,
139,44,513,,
140,24,513,,
141,39,513,,
142,23,513,,
143,27,513,,
144,38,513,,
145,24,513,,
146,36,513,,
147,24,513,,
148,43,513,,
149,12,513,,
150,19,513,,
151,25,513,,
152,50,513,,
153,30,513,,
154,30,513,,
155,25,513,,
156,32,513,,
157,30,513,,
158,26,513,,
159,36,513,,
160,38,513,,
161,20,513,,
162,27,513,,
163,21,513,,
164,28,513,,
165,39,513,,
166,62,513,,
167,23,513,,
168,20,513,,
169,13,513,,
170,19,513,,
171,27,513,,
172,39,513,,
173,28,513,,
174,21,513,,
175,26,513,,
176,24,513,,
177,26,513,,
178,44,513,,
179,26,513,,
180,37,513,,
181,31,513,,
182,26,513,,
183,17,513,,
184,17,513,,
185,27,513,,
186,24,513,,
187,26,513,,
188,48,513,,
189,45,513,,
190,23,513,,
191,22,513,,
192,25,513,,
193,22,513,,
194,12,513,,
195,24,513,,
196,7,513,,
197,28,513,,
198,26,513,,
199,30,513,,
200,21,513,,
201,47,513,,
202,39,513,,
203,24,513,,
204,20,513,,
205,30,513,,
206,33,513,,
207,20,513,,
208,34,513,,
209,21,513,,
210,22,513,,
211,52,513,,
212,53,513,,
213,29,513,,
214,20,513,,
215,47,513,,
216,8,513,,
217,38,513,,
218,13,513,,
219,14,513,,
220,36,513,,
221,18,513,,
222,27,513,,
223,36,513,,
224,53,513,,
225,29,513,,
226,39,513,,
227,30,513,,
228,24,513,,
229,27,513,,
230,32,513,,
231,41,513,,
232,13,513,,
233,19,513,,
234,42,513,,
235,30,513,,
236,38,513,,
237,16,513,,
238,32,513,,
239,16,513,,
240,41,513,,
241,27,513,,
242,15,513,,
243,12,513,,
244,30,513,,
245,23,513,,
246,23,513,,
247,39,513,,
248,27,513,,
249,33,513,,
250,51,513,,
251,24,513,,
252,40,513,,
253,42,513,,
254,33,513,,
255,23,513,,
256,10,513,,
257,12,513,,
258,32,513,,
259,28,513,,
260,26,513,,
261,11,513,,
262,9,513,,
263,18,513,,
264,12,513,,
265,40,513,,
266,40,513,,
267,18,513,,
268,46,513,,
269,32,513,,
270,35,513,,
271,35,513,,
272,19,513,,
273,53,513,,
274,20,513,,
275,27,513,,
276,49,513,,
277,31,513,,
278,37,513,,
279,30,513,,
280,9,513,,
281,31,513,,
282,28,513,,
283,16,513,,
284,40,513,,
285,18,513,,
286,15,513,,
287,24,513,,
288,41,513,,
289,22,513,,
290,30,513,,
291,26,513,,
292,8,513,,
293,27,513,,
294,15,513,,
295,44,513,,
296,37,513,,
297,53,513,,
298,41,513,,
299,19,513,,
300,25,513,,
301,7,513,,
302,24,513,,
303,20,513,,
304,35,513,,
305,25,513,,
306,25,513,,
307,30,513,,
308,26,513,,
309,26,513,,
310,31,513,,
311,54,513,,
312,17,513,,
313,45,513,,
314,39,513,,
315,43,513,,
316,9,513,,
317,33,513,,
318,9,513,,
319,56,513,,
320,59,513,,
321,14,513,,
322,25,513,,
323,39,513,,
324,51,513,,
325,12,513,,
326,23,513,,
327,24,513,,
328,41,513,,
329,13,513,,
330,19,513,,
331,26,513,,
332,43,513,,
333,16,513,,
334,35,513,,
335,25,513,,
336,23,513,,
337,30,513,,
338,62,513,,
339,26,513,,
340,14,513,,
341,24,513,,
342,53,513,,
343,20,513,,
344,41,513,,
345,45,513,,
346,36,513,,
347,47,513,,
348,30,513,,
349,14,513,,
350,18,513,,
351,9,513,,
352,7,513,,
353,40,513,,
354,29,513,,
355,25,513,,
356,17,513,,
357,33,513,,
358,14,513,,
359,48,513,,
360,40,513,,
361,52,513,,
362,31,513,,
363,32,513,,
364,26,513,,
365,51,513,,
366,20,513,,
367,31,513,,
368,31,513,,
369,26,513,,
370,20,513,,
371,23,513,,
372,13,513,,
373,31,513,,
374,24,513,,
375,23,513,,
376,36,513,,
377,33,513,,
378,20,513,,
379,57,513,,
380,13,513,,
381,39,513,,
382,19,513,,
383,30,513,,
384,20,513,,
385,33,513,,
386,52,513,,
387,30,513,,
388,62,513,,
389,20,513,,
390,40,513,,
391,44,513,,
392,32,513,,
393,34,513,,
394,6,513,,
395,17,513,,
396,36,513,,
397,33,513,,
