Seed,ElapsedTime(ms),Path Length,Min,0
0,2,513,Max,82
1,14,513,,
2,16,513,Median,17
3,3,513,95th Percentile,51
4,15,513,99th Percentile,61.99
5,33,513,Average,20.906
6,9,513,,
7,41,513,,
8,12,513,,
9,10,513,,
10,5,513,,
11,28,513,,
12,39,513,,
13,5,513,,
14,55,513,,
15,32,513,,
16,8,513,,
17,17,513,,
18,18,513,,
19,34,513,,
20,23,513,,
21,53,513,,
22,10,513,,
23,25,513,,
24,15,513,,
25,13,513,,
26,33,513,,
27,2,513,,
28,32,513,,
29,7,513,,
30,21,513,,
31,42,513,,
32,42,513,,
33,5,513,,
34,49,513,,
35,24,513,,
36,7,513,,
37,38,513,,
38,23,513,,
39,16,513,,
40,32,513,,
41,22,513,,
42,14,513,,
43,30,513,,
44,58,513,,
45,7,513,,
46,16,513,,
47,38,513,,
48,30,513,,
49,30,513,,
50,35,513,,
51,15,513,,
52,14,513,,
53,14,513,,
54,47,513,,
55,28,513,,
56,25,513,,
57,19,513,,
58,4,513,,
59,38,513,,
60,9,513,,
61,9,513,,
62,3,513,,
63,11,513,,
64,18,513,,
65,6,513,,
66,6,513,,
67,13,513,,
68,33,513,,
69,18,513,,
70,31,513,,
71,23,513,,
72,25,513,,
73,12,513,,
74,13,513,,
75,38,513,,
76,14,513,,
77,7,513,,
78,31,513,,
79,26,513,,
80,6,513,,
81,2,513,,
82,11,513,,
83,17,513,,
84,30,513,,
85,31,513,,
86,17,513,,
87,22,513,,
88,8,513,,
89,16,513,,
90,25,513,,
91,23,513,,
92,27,513,,
93,17,513,,
94,2,513,,
95,21,513,,
96,14,513,,
97,13,513,,
98,8,513,,
99,30,513,,
100,41,513,,
101,18,513,,
102,16,513,,
103,52,513,,
104,17,513,,
105,26,513,,
106,27,513,,
107,22,513,,
108,10,513,,
109,47,513,,
110,10,513,,
111,11,513,,
112,9,513,,
113,25,513,,
114,13,513,,
115,6,513,,
116,28,513,,
117,24,513,,
118,14,513,,
119,50,513,,
120,25,513,,
121,25,513,,
122,4,513,,
123,39,513,,
124,17,513,,
125,30,513,,
126,29,513,,
127,12,513,,
128,34,513,,
129,33,513,,
130,6,513,,
131,9,513,,
132,18,513,,
133,5,513,,
134,47,513,,
135,23,513,,
136,8,513,,
137,21,513,,
138,4,513,,
139,46,513,,
140,5,513,,
141,7,513,,
142,8,513,,
143,19,513,,
144,11,513,,
145,55,513,,
