Seed,ElapsedTime(ms),Path Length,Min,1
0,13,513,Max,65
1,28,513,,
2,22,513,Median,19
3,14,513,95th Percentile,45
4,20,513,99th Percentile,55
5,24,513,Average,20.713
6,14,513,,
7,41,513,,
8,15,513,,
9,5,513,,
10,5,513,,
11,17,513,,
12,37,513,,
13,2,513,,
14,34,513,,
15,29,513,,
16,16,513,,
17,11,513,,
18,25,513,,
19,35,513,,
20,24,513,,
21,20,513,,
22,15,513,,
23,38,513,,
24,22,513,,
25,35,513,,
26,15,513,,
27,9,513,,
28,30,513,,
29,11,513,,
30,31,513,,
31,8,513,,
32,38,513,,
33,3,513,,
34,50,513,,
35,42,513,,
36,8,513,,
37,20,513,,
38,20,513,,
39,22,513,,
40,19,513,,
41,23,513,,
42,13,513,,
43,31,513,,
44,50,513,,
45,17,513,,
46,6,513,,
47,34,513,,
48,24,513,,
49,45,513,,
50,36,513,,
51,29,513,,
52,30,513,,
53,9,513,,
54,18,513,,
55,22,513,,
56,32,513,,
57,15,513,,
58,11,513,,
59,29,513,,
60,24,513,,
61,9,513,,
62,15,513,,
63,14,513,,
64,29,513,,
65,12,513,,
66,8,513,,
67,10,513,,
68,34,513,,
69,14,513,,
70,21,513,,
71,4,513,,
72,21,513,,
73,13,513,,
74,9,513,,
75,38,513,,
76,8,513,,
77,7,513,,
78,21,513,,
79,27,513,,
80,2,513,,
81,6,513,,
82,14,513,,
83,29,513,,
84,29,513,,
85,31,513,,
86,3,513,,
87,23,513,,
88,25,513,,
89,26,513,,
90,33,513,,
91,39,513,,
92,23,513,,
93,31,513,,
94,16,513,,
95,35,513,,
96,11,513,,
97,22,513,,
98,25,513,,
99,23,513,,
100,36,513,,
101,23,513,,
102,16,513,,
103,54,513,,
104,8,513,,
105,19,513,,
106,41,513,,
107,39,513,,
108,24,513,,
109,36,513,,
110,8,513,,
111,10,513,,
112,18,513,,
113,27,513,,
114,11,513,,
115,4,513,,
116,28,513,,
117,24,513,,
118,13,513,,
119,29,513,,
120,19,513,,
121,21,513,,
122,3,513,,
123,39,513,,
124,26,513,,
125,45,513,,
126,7,513,,
127,12,513,,
128,21,513,,
129,9,513,,
130,28,513,,
131,11,513,,
132,29,513,,
133,11,513,,
134,47,513,,
135,22,513,,
136,2,513,,
137,22,513,,
138,9,513,,
139,45,513,,
140,5,513,,
141,6,513,,
142,2,513,,
143,20,513,,
144,29,513,,
145,56,513,,
146,40,513,,
