Seed,ElapsedTime(ms),Path Length,Min,5
0,24,470,Max,51
1,17,513,,
2,34,513,Median,18
3,19,513,95th Percentile,31
4,18,513,99th Percentile,37.99
5,25,513,Average,18.539
6,12,513,,
7,18,513,,
8,21,513,,
9,22,513,,
10,25,513,,
11,16,513,,
12,11,513,,
13,9,513,,
14,22,513,,
15,5,513,,
16,26,513,,
17,16,513,,
18,22,513,,
19,7,513,,
20,18,513,,
21,34,513,,
22,16,513,,
23,19,513,,
24,24,513,,
25,24,513,,
26,11,513,,
27,14,513,,
28,13,513,,
29,12,493,,
30,30,513,,
31,14,483,,
32,24,513,,
33,17,513,,
34,19,513,,
35,17,513,,
36,11,513,,
37,17,513,,
38,13,513,,
39,20,513,,
40,21,513,,
41,33,513,,
42,28,513,,
43,12,513,,
44,51,513,,
45,15,513,,
46,15,513,,
47,25,513,,
48,10,513,,
49,32,513,,
50,14,455,,
51,15,513,,
52,16,513,,
53,24,513,,
54,30,513,,
55,21,513,,
56,17,513,,
57,9,513,,
58,22,513,,
59,19,513,,
60,16,513,,
61,17,513,,
62,20,513,,
63,29,513,,
64,18,513,,
65,19,513,,
66,16,513,,
67,19,513,,
68,20,513,,
69,29,513,,
70,18,513,,
71,28,513,,
72,22,513,,
73,28,513,,
74,25,513,,
75,24,513,,
76,13,513,,
77,11,513,,
78,10,513,,
79,24,513,,
80,9,513,,
81,38,513,,
82,27,513,,
83,25,513,,
84,21,513,,
85,22,513,,
86,10,513,,
87,13,513,,
88,19,513,,
89,15,513,,
90,15,513,,
91,18,513,,
92,21,513,,
93,22,513,,
94,18,463,,
95,14,513,,
96,21,513,,
97,29,513,,
98,17,513,,
99,15,513,,
100,13,513,,
101,27,513,,
102,21,513,,
103,15,513,,
104,15,513,,
105,7,513,,
106,25,513,,
107,18,513,,
108,20,513,,
109,12,513,,
110,14,513,,
111,13,513,,
112,20,513,,
113,15,513,,
114,7,513,,
115,23,513,,
116,20,513,,
117,22,513,,
118,11,513,,
119,25,513,,
120,11,513,,
121,20,504,,
122,12,513,,
123,15,513,,
124,24,513,,
125,18,513,,
126,13,513,,
127,24,513,,
128,12,513,,
129,23,513,,
130,13,513,,
131,21,513,,
132,5,513,,
133,11,513,,
134,18,513,,
135,20,513,,
136,14,513,,
137,15,513,,
138,17,513,,
139,10,513,,
140,18,513,,
141,17,513,,
142,24,513,,
