Seed,X Position,Y Position,ElapsedTime(ms)
1,0,0,570
1,-1,0,46
1,0,-1,137
1,-1,-1,169
1,0,1,190
1,1,0,180
1,1,-1,203
1,-1,1,228
1,-2,0,235
1,0,-2,237
1,1,1,256
1,0,2,269
1,2,0,267
1,-2,-1,225
1,-1,-2,218
1,-2,1,249
1,1,-2,197
1,-1,2,226
1,2,-1,229
1,-2,-2,181
1,1,2,239
1,2,1,228
1,-2,2,219
1,2,-2,218
1,-3,0,193
1,0,-3,196
1,2,2,246
1,-3,-1,196
1,0,3,239
1,-1,-3,192
1,-3,1,200
1,3,0,227
1,-1,3,239
1,1,-3,232
1,1,3,272
1,3,-1,256
1,-3,-2,209
1,-2,-3,211
1,3,1,256
1,-3,2,229
1,2,-3,231
1,-2,3,255
1,3,-2,202
1,2,3,238
1,-4,0,195
1,0,-4,196
1,3,2,220
1,-4,-1,191
1,0,4,229
1,-1,-4,195
1,-4,1,204
1,4,0,249
1,-1,4,225
1,1,-4,201
1,-3,-3,167
1,1,4,232
1,4,-1,232
1,-3,3,216
1,-4,-2,193
1,4,1,247
1,3,-3,217
1,3,3,240
1,-2,-4,185
1,-4,2,200
1,-2,4,205
1,2,-4,195
1,2,4,225
1,-5,0,197
1,-4,-3,192
1,4,-2,218
1,4,2,251
1,-4,3,214
1,-3,-4,169
1,-3,4,214
1,0,-5,207
1,0,5,215
1,3,-4,211
1,4,-3,230
1,3,4,242
1,-5,-1,197
1,4,3,235
1,5,0,223
1,-5,1,193
1,-1,-5,186
1,1,-5,196
1,-1,5,225
1,-5,-2,191
1,1,5,238
1,5,-1,215
1,-2,-5,186
1,-5,2,201
1,5,1,225
1,-2,5,240
1,2,-5,241
1,5,-2,249
1,2,5,264
1,-4,-4,206
1,-5,-3,221
1,-4,4,245
1,5,2,259
1,4,-4,247
1,4,4,274
1,-3,-5,177
1,-5,3,204
1,3,-5,205
1,-3,5,215
1,0,-6,184
1,-6,0,194
1,3,5,249
1,5,-3,209
1,5,3,232
1,-6,-1,184
1,0,6,224
1,6,0,236
1,-6,1,191
1,-1,-6,190
1,1,-6,186
1,-1,6,207
1,6,-1,217
1,-6,-2,180
1,1,6,225
1,6,1,245
1,-2,-6,185
1,-6,2,208
1,2,-6,204
1,-2,6,212
1,-5,-4,171
1,6,-2,219
1,2,6,228
1,6,2,215
1,-5,4,207
1,-4,-5,168
1,-4,5,212
1,4,-5,212
1,5,-4,190
1,4,5,241
1,-6,-3,173
1,-6,3,199
1,-3,-6,202
1,5,4,238
1,-3,6,210
1,3,-6,206
1,6,-3,189
1,3,6,229
1,6,3,223
1,-7,0,181
1,0,-7,223
1,-7,-1,221
1,-5,-5,217
1,0,7,244
1,-7,1,230
1,7,0,247
1,-5,5,240
1,-1,-7,209
1,1,-7,199
1,-1,7,242
1,1,7,213
1,5,-5,183
1,-6,-4,163
1,5,5,205
1,7,-1,204
1,-4,-6,154
1,7,1,203
1,-6,4,166
1,-4,6,173
1,4,-6,170
1,6,-4,173
1,-7,-2,154
1,4,6,200
1,6,4,195
1,-7,2,172
1,-2,-7,172
1,2,-7,159
1,-2,7,184
1,2,7,197
1,7,-2,177
1,-7,-3,150
1,-3,-7,160
1,-7,3,174
1,7,2,201
1,-3,7,174
1,3,-7,174
1,7,-3,191
1,3,7,206
1,-6,-5,146
1,7,3,199
1,-6,5,161
1,-5,-6,156
1,5,-6,183
1,-5,6,191
1,6,-5,195
1,-8,0,162
1,5,6,214
1,6,5,206
1,0,-8,173
1,-8,-1,167
1,0,8,190
1,8,0,194
1,-8,1,155
1,-7,-4,155
1,-4,-7,168
1,-7,4,187
1,-1,-8,153
1,-4,7,190
1,-1,8,196
1,1,-8,158
1,4,-7,162
1,1,8,178
1,7,-4,184
1,4,7,200
1,-8,-2,156
1,7,4,206
1,8,-1,196
1,8,1,192
1,-8,2,166
1,-2,-8,152
1,2,-8,155
1,-2,8,189
1,2,8,199
1,8,-2,193
1,-6,-6,155
1,8,2,197
1,6,-6,173
1,-6,6,180
1,-8,-3,164
1,6,6,239
1,-3,-8,177
1,-8,3,201
1,3,-8,173
1,-3,8,212
1,3,8,228
1,-7,-5,196
1,8,-3,219
1,-7,5,185
1,8,3,224
1,-5,-7,156
1,5,-7,173
1,-5,7,191
1,5,7,206
1,7,-5,169
1,-8,-4,160
1,-4,-8,165
1,7,5,195
1,-8,4,179
1,4,-8,162
1,-4,8,189
1,4,8,204
1,8,-4,189
1,-9,0,167
1,0,-9,166
1,8,4,196
1,-9,-1,170
1,-9,1,175
1,0,9,206
1,-1,-9,175
1,9,0,203
1,1,-9,171
1,-1,9,185
1,1,9,193
1,-9,-2,158
1,9,-1,195
1,9,1,195
1,-9,2,150
1,-7,-6,159
1,-6,-7,157
1,-7,6,193
1,-6,7,182
1,-2,-9,171
1,2,-9,168
1,-2,9,185
1,6,-7,168
1,2,9,189
1,7,-6,172
1,6,7,205
1,7,6,201
1,9,-2,187
1,-8,-5,150
1,9,2,187
1,-5,-8,169
1,-8,5,183
1,5,-8,178
1,-5,8,188
1,8,-5,174
1,5,8,201
1,-9,-3,166
1,8,5,201
1,-9,3,178
1,-3,-9,148
1,3,-9,161
1,-3,9,191
1,9,-3,190
1,-9,-4,156
1,3,9,209
1,9,3,193
1,-9,4,184
1,-4,-9,207
1,4,-9,231
1,-4,9,239
1,4,9,264
1,9,-4,246
1,-7,-7,222
1,-7,7,229
1,7,-7,206
1,9,4,262
1,-10,0,175
1,-8,-6,158
1,7,7,202
1,-8,6,181
1,-6,-8,127
1,0,-10,153
1,-6,8,165
1,6,-8,171
1,0,10,179
1,8,-6,177
1,-10,-1,161
1,6,8,209
1,8,6,198
1,10,0,198
1,-10,1,156
1,-1,-10,167
1,-1,10,199
1,1,-10,172
1,1,10,184
1,-10,-2,160
1,10,-1,181
1,-10,2,160
1,-2,-10,159
1,10,1,193
1,-2,10,200
1,2,-10,176
1,2,10,186
1,10,-2,189
1,-9,-5,163
1,-5,-9,158
1,10,2,190
1,-9,5,170
1,5,-9,164
1,-5,9,187
1,5,9,188
1,9,-5,184
1,-10,-3,149
1,-10,3,163
1,-3,-10,173
1,9,5,198
1,3,-10,177
1,-3,10,195
1,3,10,190
1,10,-3,181
1,-8,-7,139
1,10,3,223
1,-7,-8,142
1,-8,7,182
1,-7,8,166
1,7,-8,181
1,8,-7,180
1,7,8,202
1,-10,-4,166
1,-10,4,156
1,8,7,197
1,-4,-10,152
1,-4,10,186
1,4,-10,177
1,4,10,195
1,10,-4,233
1,-9,-6,213
1,10,4,228
1,-6,-9,244
1,-9,6,277
1,-6,9,265
1,6,-9,231
1,-11,0,124
1,0,-11,163
1,9,-6,278
1,6,9,287
1,9,6,259
1,0,11,187
1,11,0,198
1,-11,-1,172
1,-11,1,170
1,-1,-11,163
1,1,-11,154
1,-1,11,209
1,-11,-2,163
1,11,-1,196
1,1,11,209
1,11,1,201
1,-11,2,163
1,-10,-5,169
1,-5,-10,168
1,-10,5,183
1,-2,-11,184
1,-5,10,198
1,2,-11,164
1,-2,11,193
1,5,-10,191
1,2,11,218
1,10,-5,177
1,5,10,211
1,10,5,199
1,11,-2,212
1,-8,-8,169
1,11,2,206
1,-8,8,189
1,8,-8,191
1,-11,-3,162
1,-11,3,177
1,-9,-7,166
1,-7,-9,145
1,8,8,219
1,-9,7,171
1,-7,9,178
1,-3,-11,153
1,-3,11,182
1,3,-11,179
1,3,11,180
1,7,-9,176
1,9,-7,186
1,7,9,194
1,9,7,199
1,11,-3,194
1,-10,-6,142
1,11,3,200
1,-10,6,154
1,-6,-10,156
1,6,-10,165
1,-6,10,191
1,-11,-4,152
1,10,-6,180
1,6,10,197
1,-11,4,170
1,10,6,199
1,-4,-11,150
1,4,-11,183
1,-4,11,195
1,11,-4,182
1,4,11,203
1,0,-12,161
1,-12,0,170
1,11,4,191
1,0,12,169
1,-12,-1,167
1,12,0,194
1,-9,-8,149
1,-12,1,161
1,-8,-9,136
1,-9,8,213
1,-1,-12,194
1,1,-12,199
1,-8,9,220
1,-1,12,224
1,8,-9,200
1,1,12,212
1,9,-8,215
1,8,9,236
1,9,8,225
1,-11,-5,157
1,12,-1,180
1,12,1,178
1,-5,-11,157
1,-11,5,182
1,5,-11,173
1,-5,11,182
1,11,-5,178
1,5,11,199
1,11,5,189
1,-12,-2,170
1,-2,-12,147
1,-12,2,167
1,2,-12,158
1,-2,12,177
1,2,12,200
1,12,-2,195
1,-10,-7,140
1,12,2,198
1,-7,-10,143
1,-10,7,164
1,7,-10,162
1,-7,10,185
1,7,10,209
1,10,-7,186
1,-12,-3,150
1,-12,3,169
1,10,7,207
1,-3,-12,152
1,3,-12,168
1,-3,12,189
1,3,12,184
1,12,-3,177
1,-11,-6,162
1,-11,6,161
1,-6,-11,157
1,12,3,189
1,6,-11,173
1,-6,11,186
1,11,-6,171
1,6,11,202
1,-12,-4,153
1,-4,-12,148
1,11,6,202
1,-12,4,167
1,4,-12,166
1,-4,12,199
1,12,-4,179
1,4,12,197
1,-9,-9,140
1,12,4,170
1,-9,9,167
1,-10,-8,142
1,9,-9,190
1,-10,8,167
1,-8,-10,151
1,9,9,192
1,8,-10,165
1,-8,10,182
1,10,-8,178
1,8,10,201
1,-13,0,166
1,10,8,186
1,-12,-5,147
1,-12,5,166
1,-5,-12,162
1,-5,12,170
1,0,-13,218
1,0,13,230
1,5,-12,201
1,5,12,234
1,-13,-1,190
1,12,-5,228
1,-13,1,198
1,12,5,234
1,13,0,222
1,-11,-7,188
1,-11,7,167
1,-7,-11,151
1,-1,-13,155
1,-7,11,198
1,1,-13,150
1,-1,13,193
1,7,-11,179
1,1,13,190
1,11,-7,188
1,7,11,196
1,13,-1,188
1,11,7,203
1,-13,-2,151
1,-13,2,158
1,13,1,185
1,-2,-13,154
1,2,-13,159
1,-2,13,188
1,13,-2,182
1,2,13,200
1,-13,-3,167
1,-13,3,164
1,-3,-13,161
1,13,2,196
1,-3,13,165
1,3,-13,173
1,3,13,196
1,-12,-6,149
1,13,-3,183
1,13,3,186
1,-12,6,165
1,-6,-12,153
1,6,-12,167
1,-6,12,184
1,12,-6,173
1,6,12,202
1,-10,-9,155
1,-9,-10,148
1,-10,9,169
1,12,6,197
1,-9,10,169
1,9,-10,191
1,10,-9,167
1,9,10,206
1,-13,-4,163
1,-13,4,158
1,-11,-8,144
1,10,9,201
1,-8,-11,136
1,-11,8,181
1,-8,11,172
1,-4,-13,151
1,4,-13,163
1,-4,13,200
1,8,-11,160
1,4,13,198
1,11,-8,191
1,11,8,196
1,8,11,213
1,13,-4,172
1,-12,-7,147
1,13,4,197
1,-7,-12,146
1,-12,7,173
1,7,-12,160
1,-7,12,191
1,7,12,226
1,12,-7,224
1,12,7,233
1,-13,-5,257
1,-13,5,258
1,-5,-13,260
1,5,-13,232
1,-14,0,124
1,13,-5,214
1,0,-14,127
1,0,14,121
1,-5,13,328
1,5,13,315
1,13,5,232
1,14,0,163
1,-14,-1,139
1,-14,1,144
1,-1,-14,177
1,1,-14,166
1,-1,14,196
1,1,14,199
1,-14,-2,161
1,14,-1,175
1,-14,2,151
1,-10,-10,146
1,14,1,180
1,-10,10,171
