Seed,X Position,Y Position,ElapsedTime(ms),Min,39
1,0,0,509,Max,533
1,-1,0,39,,
1,0,-1,108,Median,161
1,0,1,156,95th Percentile,213
1,-1,-1,149,99th Percentile,350.24
1,1,0,180,Average,166.0355378
1,-1,1,180,,
1,1,-1,183,,
1,-2,0,164,,
1,1,1,181,,
1,0,-2,166,,
1,0,2,215,,
1,2,0,180,,
1,-2,-1,169,,
1,-1,-2,159,,
1,-2,1,189,,
1,-1,2,187,,
1,1,-2,197,,
1,1,2,198,,
1,2,-1,195,,
1,-2,-2,142,,
1,2,1,206,,
1,-2,2,174,,
1,2,-2,171,,
1,-3,0,153,,
1,2,2,188,,
1,0,-3,146,,
1,-3,-1,147,,
1,-3,1,150,,
1,-1,-3,152,,
1,0,3,181,,
1,3,0,182,,
1,-1,3,186,,
1,1,-3,151,,
1,1,3,181,,
1,-3,-2,144,,
1,3,-1,166,,
1,-2,-3,129,,
1,3,1,172,,
1,-3,2,171,,
1,-2,3,159,,
1,2,-3,155,,
1,2,3,195,,
1,3,-2,200,,
1,-4,0,172,,
1,0,-4,176,,
1,3,2,201,,
1,-4,-1,173,,
1,-1,-4,164,,
1,0,4,204,,
1,4,0,195,,
1,-4,1,182,,
1,1,-4,158,,
1,-1,4,170,,
1,4,-1,156,,
1,1,4,182,,
1,-3,-3,146,,
1,4,1,160,,
1,3,-3,153,,
1,-3,3,158,,
1,-4,-2,149,,
1,3,3,184,,
1,-2,-4,143,,
1,-4,2,158,,
1,2,-4,148,,
1,-5,0,138,,
1,-2,4,169,,
1,-4,-3,142,,
1,4,-2,163,,
1,2,4,177,,
1,4,2,185,,
1,-4,3,157,,
1,-3,-4,137,,
1,-3,4,157,,
1,0,-5,157,,
1,3,-4,159,,
1,0,5,175,,
1,4,-3,163,,
1,3,4,183,,
1,-5,-1,151,,
1,4,3,188,,
1,5,0,177,,
1,-5,1,156,,
1,-1,-5,141,,
1,-1,5,171,,
1,1,-5,153,,
1,-5,-2,145,,
1,1,5,180,,
1,5,-1,177,,
1,-2,-5,136,,
1,5,1,168,,
1,-5,2,154,,
1,-2,5,158,,
1,2,-5,154,,
1,-4,-4,128,,
1,5,-2,164,,
1,2,5,185,,
1,-4,4,158,,
1,-5,-3,145,,
1,5,2,174,,
1,4,-4,161,,
1,-5,3,141,,
1,4,4,191,,
1,-3,-5,143,,
1,-3,5,186,,
1,3,-5,182,,
1,3,5,193,,
1,5,-3,188,,
1,0,-6,179,,
1,-6,0,184,,
1,5,3,194,,
1,-6,-1,178,,
1,0,6,201,,
1,6,0,202,,
1,-1,-6,145,,
1,-6,1,151,,
1,1,-6,147,,
1,-1,6,172,,
1,1,6,181,,
1,6,-1,178,,
1,-6,-2,146,,
1,6,1,180,,
1,-2,-6,140,,
1,-6,2,152,,
1,2,-6,135,,
1,-2,6,178,,
1,2,6,171,,
1,-5,-4,131,,
1,-4,-5,144,,
1,6,-2,172,,
1,6,2,166,,
1,-5,4,166,,
1,-4,5,166,,
1,4,-5,161,,
1,4,5,192,,
1,5,-4,166,,
1,-6,-3,143,,
1,-6,3,155,,
1,-3,-6,151,,
1,5,4,169,,
1,3,-6,155,,
1,-3,6,171,,
1,6,-3,180,,
1,3,6,191,,
1,-7,0,150,,
1,6,3,167,,
1,0,-7,145,,
1,-7,-1,148,,
1,-7,1,146,,
1,0,7,169,,
1,-5,-5,140,,
1,7,0,170,,
1,-5,5,127,,
1,-1,-7,142,,
1,-1,7,148,,
1,1,-7,136,,
1,-6,-4,111,,
1,1,7,157,,
1,5,-5,136,,
1,-4,-6,108,,
1,7,1,149,,
1,7,-1,154,,
1,5,5,160,,
1,-6,4,143,,
1,-4,6,142,,
1,4,-6,139,,
1,-7,-2,120,,
1,-7,2,116,,
1,6,-4,137,,
1,4,6,161,,
1,-2,-7,144,,
1,6,4,185,,
1,2,-7,163,,
1,-2,7,178,,
1,2,7,183,,
1,-7,-3,159,,
1,-3,-7,132,,
1,7,-2,190,,
1,-7,3,164,,
1,7,2,185,,
1,-3,7,141,,
1,3,-7,129,,
1,7,-3,140,,
1,3,7,160,,
1,-6,-5,116,,
1,-5,-6,112,,
1,-6,5,135,,
1,7,3,147,,
1,-5,6,137,,
1,5,-6,139,,
1,6,-5,129,,
1,5,6,168,,
1,-8,0,137,,
1,6,5,151,,
1,0,-8,131,,
1,0,8,154,,
1,-8,1,123,,
1,-8,-1,135,,
1,-7,-4,119,,
1,8,0,147,,
1,-7,4,138,,
1,-4,-7,124,,
1,-1,-8,123,,
1,-4,7,138,,
1,1,-8,112,,
1,-1,8,145,,
1,4,-7,136,,
1,1,8,151,,
1,7,-4,146,,
1,4,7,152,,
1,-8,-2,125,,
1,7,4,159,,
1,8,-1,143,,
1,8,1,151,,
1,-8,2,124,,
1,-2,-8,125,,
1,2,-8,114,,
1,-2,8,153,,
1,2,8,145,,
1,-6,-6,112,,
1,8,-2,153,,
1,8,2,146,,
1,-6,6,140,,
1,6,-6,133,,
1,-8,-3,113,,
1,6,6,145,,
1,-8,3,132,,
1,-3,-8,131,,
1,3,-8,122,,
1,-3,8,144,,
1,3,8,137,,
1,-7,-5,121,,
1,8,-3,129,,
1,8,3,160,,
1,-7,5,137,,
1,-5,-7,124,,
1,-5,7,138,,
1,5,-7,131,,
1,-8,-4,146,,
1,7,-5,167,,
1,5,7,188,,
1,-8,4,154,,
1,-4,-8,140,,
1,7,5,196,,
1,4,-8,157,,
1,-4,8,171,,
1,4,8,171,,
1,8,-4,161,,
1,-9,0,115,,
1,0,-9,134,,
1,8,4,153,,
1,-9,-1,119,,
1,0,9,168,,
1,9,0,158,,
1,-9,1,128,,
1,-1,-9,132,,
1,-1,9,141,,
1,1,-9,137,,
1,-9,-2,120,,
1,9,-1,138,,
1,1,9,152,,
1,9,1,148,,
1,-7,-6,113,,
1,-9,2,119,,
1,-6,-7,119,,
1,-7,6,145,,
1,-6,7,131,,
1,-2,-9,130,,
1,2,-9,117,,
1,-2,9,133,,
1,2,9,152,,
1,6,-7,146,,
1,7,-6,145,,
1,6,7,159,,
1,7,6,149,,
1,9,-2,152,,
1,-8,-5,112,,
1,9,2,150,,
1,-5,-8,123,,
1,-8,5,139,,
1,5,-8,130,,
1,-5,8,142,,
1,8,-5,141,,
1,5,8,153,,
1,-9,-3,119,,
1,8,5,149,,
1,-9,3,140,,
1,-3,-9,123,,
1,3,-9,130,,
1,-3,9,151,,
1,3,9,149,,
1,9,-3,141,,
1,-9,-4,119,,
1,-9,4,120,,
1,-4,-9,112,,
1,9,3,149,,
1,-4,9,139,,
1,4,-9,132,,
1,4,9,156,,
1,9,-4,138,,
1,-7,-7,119,,
1,-7,7,138,,
1,7,-7,138,,
1,9,4,155,,
1,-10,0,133,,
1,7,7,152,,
1,-8,-6,112,,
1,-8,6,137,,
1,-6,-8,115,,
1,-6,8,167,,
1,0,-10,152,,
1,6,-8,147,,
1,0,10,157,,
1,8,-6,169,,
1,6,8,182,,
1,10,0,168,,
1,8,6,179,,
1,-10,-1,144,,
1,-10,1,148,,
1,-1,-10,115,,
1,-1,10,149,,
1,1,-10,138,,
1,1,10,138,,
1,-10,-2,122,,
1,10,-1,140,,
1,-10,2,126,,
1,-2,-10,131,,
1,10,1,150,,
1,-2,10,151,,
1,2,-10,134,,
1,2,10,142,,
1,10,-2,149,,
1,-9,5,112,,
1,-9,-5,123,,
1,-5,-9,114,,
1,10,2,135,,
1,-5,9,139,,
1,5,-9,135,,
1,9,-5,145,,
1,5,9,155,,
1,-3,-10,120,,
1,9,5,147,,
1,-10,3,132,,
1,-10,-3,139,,
1,3,-10,118,,
1,-3,10,149,,
1,10,-3,143,,
1,3,10,151,,
1,-8,-7,129,,
1,10,3,141,,
1,-7,-8,108,,
1,-8,7,144,,
1,-7,8,141,,
