Seed,ElapsedTime(ms),Path Length,Min,15
0,16,483,Max,52
1,19,374,,
2,16,483,Median,22
3,23,374,95th Percentile,32
4,16,483,99th Percentile,39.99
5,15,295,Average,22.071
6,22,378,,
7,15,295,,
8,22,378,,
9,19,295,,
10,22,378,,
11,15,295,,
12,21,378,,
13,30,513,,
14,27,474,,
15,29,513,,
16,23,474,,
17,29,513,,
18,27,474,,
19,30,513,,
20,19,374,,
21,15,483,,
22,23,374,,
23,16,483,,
24,19,374,,
25,16,483,,
26,23,374,,
27,38,483,,
28,15,295,,
29,22,378,,
30,15,295,,
31,22,378,,
32,15,295,,
33,26,378,,
34,15,295,,
35,23,474,,
36,29,513,,
37,26,474,,
38,29,513,,
39,23,474,,
40,29,513,,
41,23,474,,
42,20,483,,
43,19,374,,
44,16,483,,
45,20,374,,
46,18,483,,
47,19,374,,
48,17,483,,
49,19,374,,
50,24,378,,
51,15,295,,
52,22,378,,
53,16,295,,
54,25,378,,
55,19,295,,
56,22,378,,
57,29,513,,
58,24,474,,
59,29,513,,
60,26,474,,
61,29,513,,
62,24,474,,
63,30,513,,
64,36,474,,
65,22,483,,
66,20,374,,
67,18,483,,
68,20,374,,
69,20,483,,
70,19,374,,
71,17,483,,
72,17,295,,
73,27,378,,
74,16,295,,
75,22,378,,
76,15,295,,
77,23,378,,
78,15,295,,
79,25,378,,
80,30,513,,
81,23,474,,
82,30,513,,
83,23,474,,
84,32,513,,
85,23,474,,
86,30,513,,
87,19,374,,
88,19,483,,
89,19,374,,
90,16,483,,
91,20,374,,
92,19,483,,
93,19,374,,
94,22,378,,
95,15,295,,
96,22,378,,
97,25,295,,
98,33,378,,
99,15,295,,
100,22,378,,
101,15,295,,
102,24,474,,
103,31,513,,
104,23,474,,
105,29,513,,
106,24,474,,
107,29,513,,
108,28,474,,
109,16,483,,
110,19,374,,
111,16,483,,
112,22,374,,
113,15,483,,
114,20,374,,
115,16,483,,
116,21,374,,
117,23,378,,
118,16,295,,
119,22,378,,
120,15,295,,
121,25,378,,
122,16,295,,
123,22,378,,
124,29,513,,
125,24,474,,
126,33,513,,
127,23,474,,
128,29,513,,
129,23,474,,
130,34,513,,
131,24,474,,
132,16,483,,
133,20,374,,
134,19,483,,
135,35,374,,
136,16,483,,
137,19,374,,
138,15,483,,
139,15,295,,
140,25,378,,
141,16,295,,
142,22,378,,
143,15,295,,
144,22,378,,
145,18,295,,
146,25,474,,
147,29,513,,
148,24,474,,
149,32,513,,
150,25,474,,
151,30,513,,
152,24,474,,
153,29,513,,
154,22,374,,
155,17,483,,
156,19,374,,
157,16,483,,
158,22,374,,
159,15,483,,
160,19,374,,
161,23,378,,
162,18,295,,
163,22,378,,
164,15,295,,
165,21,378,,
166,16,295,,
167,22,378,,
168,18,295,,
169,24,474,,
170,29,513,,
171,24,474,,
172,32,513,,
173,23,474,,
174,28,513,,
175,23,474,,
176,16,483,,
177,36,374,,
178,18,483,,
179,19,374,,
180,16,483,,
181,19,374,,
182,19,483,,
183,19,374,,
184,22,378,,
185,15,295,,
186,26,378,,
187,15,295,,
188,22,378,,
189,16,295,,
190,22,378,,
191,30,513,,
192,26,474,,
193,28,513,,
194,24,474,,
195,29,513,,
196,26,474,,
197,29,513,,
198,23,474,,
199,16,483,,
200,22,374,,
201,16,483,,
202,18,374,,
203,15,483,,
204,22,374,,
205,16,483,,
206,15,295,,
207,22,378,,
208,17,295,,
209,25,378,,
210,15,295,,
211,22,378,,
212,15,295,,
213,23,474,,
214,29,513,,
215,40,474,,
216,31,513,,
217,23,474,,
218,29,513,,
219,24,474,,
220,32,513,,
221,19,374,,
222,16,483,,
223,19,374,,
224,19,483,,
225,19,374,,
226,16,483,,
227,19,374,,
228,24,378,,
229,15,295,,
230,23,378,,
231,15,295,,
232,22,378,,
233,18,295,,
234,21,378,,
235,15,295,,
236,25,474,,
237,29,513,,
238,25,474,,
239,29,513,,
240,24,474,,
241,30,513,,
242,26,474,,
243,16,483,,
244,20,374,,
245,16,483,,
246,19,374,,
247,19,483,,
248,19,374,,
249,16,483,,
250,20,374,,
251,26,378,,
252,17,295,,
253,23,378,,
254,15,295,,
255,23,378,,
256,17,295,,
257,41,378,,
258,31,513,,
259,24,474,,
260,30,513,,
261,23,474,,
262,31,513,,
263,24,474,,
264,30,513,,
265,19,374,,
266,19,483,,
267,19,374,,
268,15,483,,
269,20,374,,
270,19,483,,
271,19,374,,
272,16,483,,
273,15,295,,
274,25,378,,
275,17,295,,
276,22,378,,
277,15,295,,
278,22,378,,
279,16,295,,
280,28,474,,
281,29,513,,
282,24,474,,
283,29,513,,
284,24,474,,
285,32,513,,
286,23,474,,
287,29,513,,
288,20,374,,
289,18,483,,
290,19,374,,
291,16,483,,
292,19,374,,
293,18,483,,
294,20,374,,
295,22,378,,
296,15,295,,
297,23,378,,
298,26,295,,
299,36,378,,
300,15,295,,
301,23,378,,
302,15,295,,
303,23,474,,
304,32,513,,
305,23,474,,
306,29,513,,
307,23,474,,
308,30,513,,
309,27,474,,
310,16,483,,
311,19,374,,
312,16,483,,
313,22,374,,
